iter	Passed	Remaining
0	90	90659
1	91	45461
2	91	30392
3	91	22857
4	92	18335
5	92	15322
6	92	13169
7	93	11554
8	93	10297
9	93	9291
10	94	8470
11	94	7785
12	94	7204
13	95	6702
14	95	6269
15	95	5888
16	96	5555
17	96	5260
18	96	4996
19	97	4758
20	97	4540
21	97	4340
22	97	4156
23	98	3988
24	98	3833
25	98	3690
26	98	3557
27	98	3434
28	99	3319
29	99	3212
30	99	3112
31	99	3018
32	100	2930
33	100	2847
34	100	2769
35	100	2695
36	100	2625
37	101	2559
38	101	2496
39	101	2436
40	101	2379
41	101	2325
42	102	2273
43	102	2224
44	102	2177
45	102	2131
46	103	2088
47	103	2047
48	103	2007
49	103	1969
50	103	1932
51	104	1897
52	104	1864
53	104	1834
54	105	1805
55	105	1777
56	105	1749
57	106	1723
58	106	1697
59	106	1672
60	107	1648
61	107	1625
62	107	1603
63	108	1581
64	108	1560
65	108	1540
66	109	1520
67	109	1501
68	109	1482
69	110	1464
70	110	1446
71	110	1429
72	111	1412
73	111	1396
74	111	1380
75	112	1364
76	112	1347
77	112	1331
78	112	1315
79	113	1301
80	113	1287
81	118	1328
82	118	1312
83	118	1297
84	119	1283
85	119	1269
86	119	1255
87	119	1242
88	120	1229
89	120	1216
90	120	1203
91	120	1191
92	120	1179
93	121	1167
94	121	1156
95	121	1144
96	121	1133
97	121	1122
98	122	1112
99	122	1104
100	123	1095
101	123	1085
102	123	1075
103	123	1065
104	123	1056
105	124	1046
106	124	1037
107	124	1028
108	124	1019
109	124	1011
110	125	1002
111	125	994
112	125	985
113	125	977
114	126	969
115	126	961
116	126	953
117	126	946
118	126	938
119	126	931
120	127	924
121	127	916
122	127	910
123	128	904
124	128	898
125	128	892
126	128	885
127	129	879
128	129	873
129	129	866
130	129	860
131	129	854
132	130	848
133	130	842
134	130	836
135	130	830
136	131	825
137	131	819
138	131	814
139	131	808
140	138	844
141	138	837
142	138	832
143	139	826
144	139	821
145	139	815
146	139	810
147	139	805
148	140	800
149	140	795
150	140	790
151	140	785
152	140	780
153	141	775
154	141	770
155	141	766
156	141	761
157	142	756
158	142	752
159	142	747
160	142	742
161	142	738
162	142	733
163	143	729
164	143	725
165	143	721
166	143	717
167	143	712
168	144	708
169	144	704
170	144	700
171	144	696
172	144	692
173	145	689
174	145	685
175	145	681
176	145	678
177	146	674
178	146	671
179	146	667
180	146	664
181	146	660
182	147	657
183	147	653
184	147	650
185	147	646
186	148	643
187	148	640
188	148	636
189	148	633
190	148	630
191	149	627
192	149	624
193	149	621
194	149	617
195	149	614
196	150	611
197	150	608
198	150	605
199	150	602
200	150	600
201	151	597
202	151	594
203	151	591
204	151	588
205	151	585
206	152	583
207	152	580
208	152	577
209	152	574
210	153	572
211	153	569
212	153	566
213	153	564
214	174	637
215	174	634
216	175	632
217	175	629
218	175	627
219	176	624
220	176	621
221	176	619
222	177	616
223	177	614
224	177	612
225	178	612
226	179	609
227	179	606
228	179	604
229	179	601
230	179	598
231	180	596
232	180	593
233	180	590
234	180	588
235	180	585
236	181	583
237	181	580
238	181	578
239	181	575
240	181	573
241	182	570
242	182	568
243	182	565
244	182	563
245	183	560
246	183	558
247	183	556
248	183	553
249	183	551
250	184	549
251	184	546
252	184	544
253	184	542
254	184	539
255	185	537
256	185	535
257	185	533
258	185	531
259	185	529
260	186	526
261	186	524
262	186	522
263	186	520
264	187	518
265	187	516
266	187	514
267	187	513
268	188	511
269	188	509
270	188	508
271	189	506
272	189	504
273	189	502
274	190	500
275	190	498
276	190	497
277	190	495
278	190	493
279	191	491
280	191	489
281	191	487
282	191	485
283	191	483
284	192	482
285	192	480
286	192	478
287	192	476
288	192	474
289	193	472
290	193	471
291	193	469
292	193	467
293	194	465
294	194	464
295	194	462
296	194	461
297	195	459
298	195	458
299	195	456
300	195	454
301	196	453
302	196	451
303	196	449
304	196	448
305	196	446
306	197	444
307	197	443
308	197	441
309	197	440
310	197	438
311	198	436
312	198	435
313	198	433
314	198	432
315	198	430
316	199	428
317	199	427
318	199	425
319	199	424
320	199	422
321	200	421
322	200	420
323	200	418
324	201	417
325	201	416
326	201	414
327	201	413
328	202	412
329	202	410
330	202	409
331	202	407
332	202	406
333	203	405
334	203	403
335	203	402
336	203	401
337	204	399
338	204	398
339	204	397
340	204	395
341	205	394
342	205	393
343	205	391
344	205	390
345	205	389
346	206	388
347	206	386
348	206	385
349	206	384
350	207	382
351	207	381
352	207	380
353	207	379
354	208	378
355	208	376
356	208	375
357	208	374
358	209	373
359	209	371
360	209	370
361	209	369
362	209	368
363	210	367
364	210	365
365	210	364
366	210	363
367	210	362
368	211	361
369	211	359
370	211	358
371	211	357
372	212	356
373	212	355
374	212	354
375	212	353
376	212	351
377	213	350
378	213	349
379	213	348
380	213	347
381	214	346
382	214	345
383	214	344
384	214	343
385	215	342
386	215	340
387	215	339
388	215	338
389	215	337
390	216	336
391	216	335
392	216	334
393	216	333
394	216	332
395	217	331
